TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFGD_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
Creighton,BE,35,23,104.8,92.1,0.8151,50.6,44.9,20.4,15.5,28.4,28.5,26.7,20.8,53.3,43.6,30.8,31.7,67,1.7,R32,9
Marquette,BE,32,19,107.7,96.5,0.7787,52.1,47,17.2,18.9,22.5,31.6,26.2,29.5,52.6,46.4,34.4,32,71.2,0.6,R64,9
San Francisco,WCC,33,24,110.2,93,0.8748,53.1,47.1,17.9,18.4,30,24,28.5,33,54.4,48.7,34.3,28.9,69,1.6,R64,10
Miami FL,ACC,37,26,113.6,97.9,0.8467,53.4,52.5,14,20.4,22.4,30.3,28.9,24.8,54.8,53,33.9,34.5,67.7,2.6,E8,10
Loyola Chicago,MVC,32,25,106.9,92.3,0.8439,55.6,46.9,18.5,20.1,25.1,24,31.5,28.9,54.9,47.3,37.6,30.9,64.6,1.8,R64,10
Davidson,A10,33,27,115.8,101.1,0.8258,55.6,49.5,14.8,16.7,23.6,22.4,32.5,28,54.2,48.9,38.5,33.6,64.6,2.1,R64,10
Virginia Tech,ACC,36,23,115.6,95.2,0.9028,55.1,49,17,18.7,27.8,26.2,24.5,25.6,52.6,49.3,39.2,32.3,63.3,1.7,R64,11
Michigan,B10,34,19,113.9,96.2,0.8741,52.1,49.7,17.3,14.7,31,24,29.4,25.6,52.7,50.4,33.9,32.4,66.4,0.2,S16,11
Notre Dame,ACC,34,24,112.8,96.7,0.8542,54,49,15.6,15.1,22.1,24.7,27.3,22.2,51.9,49.6,37.9,32,65.4,1.9,R32,11
Iowa St.,B12,35,22,101.7,88.4,0.8346,49.1,47.9,20.4,24.6,28.4,28.3,27.1,36.7,50.1,50.8,31.5,28.9,66.3,2.8,S16,11
Rutgers,B10,32,18,106.6,96.3,0.7629,49.9,48.6,17.3,17.8,29.6,27,26.2,28.6,49.4,47.1,33.9,33.9,65,-0.7,R68,11
Indiana,B10,35,21,107.7,91.6,0.8652,50.6,46.2,17.2,17.6,27,25.1,33.5,30.7,50.9,43.9,33.3,33,67.2,0.2,R64,12
UAB,CUSA,33,27,111.8,99.1,0.8001,52.8,48.4,16.4,21.1,33.3,27.5,29.3,31.3,50.8,47.8,38,32.9,68.9,-0.1,R64,12
Wyoming,MWC,33,25,107.9,97.3,0.7661,52.3,47.1,17.1,15.7,25.5,24.6,37.1,24.8,54.4,48.4,33,30.1,65.8,1.9,R68,12
New Mexico St.,WAC,31,27,106,96,0.7579,51.9,45.2,20.8,16.8,32.6,25.7,34.6,28.3,53.2,45.6,33.4,29.8,66.1,0.7,R32,12
Richmond,A10,37,24,106.9,99.1,0.7071,51.1,50.5,14.3,18.8,22.4,27.5,31,23.4,52.3,49.9,33,34.3,66.7,-1.6,R32,12
Vermont,AE,33,28,109.7,97.3,0.7984,57.1,47.7,14.7,16.8,23.7,18.7,26.7,23.3,58.6,45.3,36.8,34.4,64.8,-0.8,R64,13
Chattanooga,SC,33,27,107.3,97.3,0.7557,52.2,49.4,17,18.1,32.7,26.2,26.8,27.8,53,52.1,33.9,30.3,64.6,0.2,R64,13
South Dakota St.,Sum,33,30,114.1,103.5,0.7542,59.2,51.4,15.3,15.8,23.7,24.3,34.6,21.3,55.9,50.3,43.7,35.2,69.6,1.5,R64,13
Akron,MAC,32,24,105.5,101.7,0.6041,52.5,49.1,17.7,17.5,29,26.4,39.3,26.1,52.2,47.4,35.3,34.8,61.9,-4.3,R64,13
Colgate,Pat,34,23,107,103.2,0.6026,55.6,48.9,16.9,16,26.6,25.1,26.3,24.1,52.1,48,40.4,33.7,67,-6.1,R64,14
Longwood,BSth,29,26,105.7,103.7,0.5541,51.5,51.4,18.4,20,33.2,24.5,35.4,26.5,47.9,53.9,38.4,32.1,65.8,-2.3,R64,14
Yale,Ivy,30,19,99.4,97.9,0.5449,49.7,48.9,18.3,18.2,25.6,26.7,32.2,32.1,50.1,51.2,32.6,30.5,68.9,-4.9,R64,14
Montana St.,BSky,33,27,103.6,102.5,0.5308,53.9,49.4,18.7,18.2,26.7,23.5,40.1,36.1,52.9,48.9,37,33.6,67.1,-2.8,R64,14
Saint Peter's,MAAC,33,22,99.4,93.1,0.6786,47.5,44.2,20.1,20.5,30.9,29,37.4,41.2,45.6,44.5,34.6,29.2,65.6,-5.6,E8,15
Delaware,CAA,34,22,106.5,103.2,0.5908,53.4,49.6,18.3,18.5,26.7,31.3,34.5,29.1,54.4,47.7,34.5,35.4,66.6,-5.5,R64,15
Jacksonville St.,ASun,30,21,104.5,102.2,0.5638,53.6,48.1,19.7,17.1,28.2,27,32.1,21.6,51,47.5,38,32.7,65.1,-5.2,R64,15
Cal St. Fullerton,BW,30,21,102,103.1,0.4675,48.9,51.1,17.9,20.2,29.1,28.2,34.8,25.7,48.4,48.4,33.4,37.3,66,-5,R64,15
Georgia St.,SB,26,18,101.9,98.4,0.5983,44.7,50,16.6,22.1,32.5,31,30.4,33.2,42.5,46.2,32.4,37.5,67.3,-5.1,R64,16
Bryant,NEC,31,22,102.9,104.1,0.4651,49.6,47.6,19,16.6,32.8,31.7,32.7,25.2,52.8,47,30.3,32.5,72.3,-4.8,R68,16
Wright St.,Horz,35,22,104.8,106.2,0.4613,51.7,51.4,17.7,18.5,31,30.1,31.6,26.1,52.5,51.9,33.4,33.8,68.8,-8.4,R64,16
Texas Southern,SWAC,32,19,96.3,98.5,0.4356,48.2,45.3,21.4,17.3,33,28,33.6,33.4,48.6,45.1,31.4,30.4,68.1,-6.8,R64,16
Norfolk St.,MEAC,28,24,100.7,103,0.4342,50.9,45.8,20.1,18.4,30.1,27.8,38.3,33.5,50.8,47.1,34,29.5,67,-3.1,R64,16
Texas A&M Corpus Chris,Slnd,31,23,96.4,102.8,0.3223,47.2,49,19.7,22.6,34,28.8,38,42.3,46.9,50.3,31.8,31.5,69.2,-7.6,R68,16
Oklahoma,B12,35,19,110.6,94.1,0.865,54.8,49.4,22,20.3,25.7,26.2,27.4,26.4,56.7,50.3,34.7,31.8,65.2,1.1,N/A,N/A
Texas A&M,SEC,39,27,109.2,93.3,0.8597,49.6,47.4,18.9,23.7,33.5,33.2,35.7,33.3,50.1,47.9,32.4,31.1,66.5,1.2,N/A,N/A
Oklahoma St.,B12,30,15,102.9,88,0.8575,48,45.7,21.4,22.8,32.3,31.4,33,31.2,49.8,43.7,29.5,32.4,68,-0.8,N/A,N/A
Wake Forest,ACC,35,25,110.7,95,0.8543,55.6,47.3,19.2,17.6,26.7,26.2,33.6,29.4,58.5,46.6,34.5,32.3,70.4,1.5,N/A,N/A
Washington St.,P12,37,22,107.6,93.1,0.8405,47.9,46.9,16.6,20.4,33.4,29.5,29.8,30.3,46.2,47.4,33.5,30.6,66.2,-4,N/A,N/A
Dayton,A10,35,24,108.8,94.5,0.8341,53.9,46.9,19.1,17.1,30.3,23.6,30.5,23.7,53.8,45.8,36.1,32.4,63.1,-1.2,N/A,N/A
Syracuse,ACC,33,16,116.1,101.4,0.8271,52.5,50.6,15.4,16.7,29.2,32.1,28.3,23.5,49.9,51.6,37.6,33,67.7,-3.8,N/A,N/A
Xavier,BE,36,23,110.9,97.2,0.8205,50.9,48.3,16.7,18.1,29.3,26.1,35.3,25.9,52.2,48.3,32.2,32.2,68.6,-1.1,N/A,N/A
St. John's,BE,32,17,110.2,96.7,0.8178,50.8,48.9,15.9,21.3,30.7,31.5,26.1,33.2,51,47.5,33.5,34.1,73.6,-3.3,N/A,N/A
VCU,A10,32,22,100.9,88.9,0.8097,51.4,44.4,21.9,24.7,26.6,32,30.9,38.3,51.1,45.9,34.7,27.8,68.5,0.5,N/A,N/A
North Texas,CUSA,30,25,104.6,92.3,0.8082,51.4,46.3,18.7,19.5,31.7,25.1,37.7,32.8,49.7,47.6,35.8,28.8,59.2,0.7,N/A,N/A
Utah St.,MWC,33,18,109.2,96.4,0.8061,54.2,49.7,18.3,18.3,26,22.9,28.9,29,56.2,48.8,34.1,34,66.7,-4.7,N/A,N/A
Florida,SEC,34,20,109.8,97,0.8056,49.6,49.4,18.5,21.8,31.5,32.5,33.8,30.3,53.1,49.9,30.3,32.2,65.5,-0.9,N/A,N/A
SMU,Amer,33,24,107.9,95.4,0.8039,51.5,44.5,17.7,17,27.7,30.3,35.6,25.4,50.4,44.5,35.3,29.8,68.3,1.8,N/A,N/A
West Virginia,B12,33,16,108.6,96.1,0.8025,46.8,50.6,18.2,22.5,30,33.6,36.1,34.1,45.7,51.7,32.8,32.4,67.9,-1.1,N/A,N/A
Virginia,ACC,35,21,107.4,95.1,0.8012,49.7,48.8,16.1,18.3,27.8,28.8,28.1,23.3,50.3,47.9,32.3,33.6,59.3,-0.5,N/A,N/A
Vanderbilt,SEC,36,19,106.7,94.7,0.7985,50.2,48.5,18.9,20.7,27.5,27.7,38.7,34.9,49.5,50.7,34,30.1,67.4,-3.1,N/A,N/A
BYU,WCC,33,24,108.4,97.8,0.7647,51.8,47.7,18.4,15,30.6,22.5,27.2,31.1,51.9,48.9,34.6,30.5,67.8,0.3,N/A,N/A
Santa Clara,WCC,33,21,110.6,100.4,0.7538,54.5,48.5,16.2,16.5,23.4,26.2,27.6,21.2,53.5,46.7,37.8,34.8,70.9,-1.7,N/A,N/A
Northern Iowa,MVC,31,20,110.2,102.1,0.7057,53,53.9,16.2,18,20.8,21.8,33.2,22.7,53.3,54.4,35.1,35.6,67.3,-2.9,N/A,N/A
DePaul,BE,31,15,106.4,99.8,0.6759,48.8,48.8,17.4,16.8,31.7,28.5,33.4,26,49.4,47.8,31.7,33.7,68.8,-4.7,N/A,N/A
Stephen F. Austin,WAC,28,22,101.9,98.3,0.6021,51.3,49.2,22.3,24.4,34.5,32.2,36.5,37.4,52.8,50.1,31.9,31.9,69,-3.1,N/A,N/A
Sam Houston St.,WAC,30,19,100,96.9,0.5896,48.3,48.6,18.5,20.8,30.6,26.3,25,34.7,46.8,49.1,33.6,31.9,64.9,-7.1,N/A,N/A
UC Riverside,BW,26,16,101.2,100.1,0.5301,50.7,47.1,18.4,16.1,22.4,22.4,26.9,28.2,52.2,47.8,32.3,30.2,65.4,-6.8,N/A,N/A
UNC Greensboro,SC,31,17,100,101.2,0.4672,49.8,50.4,20.1,18.6,32.4,25.2,27.5,28.6,48.6,48.6,34.4,34.9,62.3,-7.4,N/A,N/A
Bellarmine,ASun,29,20,108,109.3,0.4645,53.3,54.4,15,17.7,22.4,30.5,22.1,30.2,54.8,56.1,34.2,35,62.3,-5.6,N/A,N/A
Long Beach St.,BW,31,20,101.5,103,0.4583,48.8,52.1,17.9,19.9,27.1,27.2,38.1,27.7,47.1,51.3,34.9,35.5,71.1,-4.9,N/A,N/A
Old Dominion,CUSA,31,13,99.6,101.9,0.4355,46.9,49.7,18.4,17.1,32.3,27.3,34.3,29.4,48.1,48.4,29,34.2,64.3,-12.3,N/A,N/A
Campbell,BSth,26,16,100.1,102.5,0.4335,51.3,50.6,16.4,18.3,22.2,26.1,26.3,27.6,52.4,49.1,33,35.3,62.3,-8.8,N/A,N/A
Alcorn St.,SWAC,34,17,97.5,104,0.3222,45.9,50.9,20.3,19.1,31.9,27.9,32.5,36.8,45.1,50.6,31.8,34.3,67.4,-8.2,N/A,N/A
Mississippi St.,SEC,34,18,107.6,95.6,0.7973,49.6,49.6,19.5,19.4,34.1,25.7,38.1,28.3,51.7,50.9,29.5,31.9,65.5,-2.4,N/A,N/A
Kansas St.,B12,31,14,109.6,97.3,0.7969,49.4,49.5,16.9,19.8,25.2,28.3,29.6,32,47.5,52.4,34.6,30.2,66.4,-2.1,N/A,N/A
Fresno St.,MWC,35,23,105.1,93.5,0.7928,51.1,47.7,17.7,19.4,27.3,22.9,31.2,27.2,51.3,47.2,33.7,32.3,61.5,-4,N/A,N/A
Saint Louis,A10,34,23,108.5,96.7,0.7889,50.6,48.2,18.7,18,33.8,26.5,32.7,32.4,49.1,48,36.2,32.3,68,-1.5,N/A,N/A
Tulane,Amer,29,14,110.8,99.4,0.7769,51.2,49.6,15,20.3,20.1,32.8,33.4,28.5,49,48.3,36.5,34.1,67.9,-5.1,N/A,N/A
Clemson,ACC,33,17,109.4,98.3,0.7753,52.4,49.7,16.4,16.9,25.8,24.1,29.8,29.1,51.2,49.4,36.3,33.4,66.4,-3.7,N/A,N/A
Oregon,P12,34,20,109.6,98.7,0.7705,51.1,49.6,17.1,19.2,29.9,31.1,29.7,29.1,51.6,50.2,33.5,32.4,67.7,-2.4,N/A,N/A
Furman,SC,33,22,113.6,102.4,0.7686,55.6,51.5,15.7,19.1,27.4,28.1,23.3,24.6,55,52.5,37.5,33.3,65,-4.5,N/A,N/A
Missouri St.,MVC,33,23,112.1,101.8,0.7522,54.6,48.8,15.5,15.7,25.8,24,27.7,28,54.6,47.8,36.4,33.6,67.1,-2.5,N/A,N/A
Towson,CAA,34,25,108.3,98.5,0.7488,51.6,47.9,17.9,19.5,35.7,26.5,33.9,31.9,50.4,48.4,35.7,31.5,64.7,-1.7,N/A,N/A
Drake,MVC,34,25,108.4,98.9,0.7424,51.4,49.3,15.9,19.4,30.2,25.9,27.3,33.5,52.3,49.1,33.1,33.1,66,-2,N/A,N/A
Arizona St.,P12,31,14,100.6,92,0.7378,47.1,46.3,17.3,19.6,24.9,30.3,21.2,32.3,47.7,46.1,30.7,31.1,67.3,-4.1,N/A,N/A
Maryland,B10,32,15,108.7,99.4,0.7378,49.4,50.2,16.8,16.1,27.2,27.6,33.9,24.6,49.7,48.2,32.6,35.5,66.7,-3.8,N/A,N/A
Colorado,P12,33,21,105.4,96.4,0.7358,50.4,48.1,19.7,17.5,29.9,24.4,34.7,27,48.1,47.2,36.6,33.1,67.3,-0.3,N/A,N/A
UNLV,MWC,31,18,107,97.9,0.7357,49.1,48.4,17,17.2,27.1,25.9,30.7,30.8,48.6,48.8,33.2,31.9,66.4,-3.8,N/A,N/A
Northwestern,B10,30,15,105.5,96.7,0.7322,49,50.8,14.1,19.3,25.6,25.1,25.1,34.8,47.2,47.7,34.6,36.8,67.8,-3.9,N/A,N/A
St. Bonaventure,A10,33,23,107.3,98.7,0.7233,50.5,50.3,15.5,19.1,26.9,27.5,25.9,22.2,50.9,49.6,33.1,34.2,65.5,-0.5,N/A,N/A
Wichita St.,Amer,28,15,103.9,95.5,0.7232,46.7,47.3,18.7,20.1,32.3,28.3,31.7,30.4,46.7,47.2,31.2,31.6,67.1,-3.6,N/A,N/A
Iona,MAAC,33,25,106.9,98.6,0.7179,50.7,46.6,17.9,19,31.8,29.8,37.3,33.8,51.2,47.2,33.2,30.2,69.4,-0.7,N/A,N/A
Belmont,OVC,32,25,106.6,98.4,0.7163,55.7,49.4,16.8,20.9,24.4,27.8,25.9,23.5,60.7,48.7,32.8,33.7,69,-0.2,N/A,N/A
Grand Canyon,WAC,29,23,104.1,96.1,0.7144,49.9,43.5,19.2,18.6,34.8,28.4,31,33,48.3,45.1,34.8,26.9,65.6,-2.4,N/A,N/A
Penn St.,B10,31,14,104,96.4,0.7046,50.5,48.3,18.6,13.8,28.6,24.1,21.8,26.2,49.9,45.6,34.2,35.2,61.9,-3.9,N/A,N/A
Cincinnati,Amer,32,18,104.4,96.9,0.7035,46.9,45,15.2,17.9,30.1,29.6,29.6,34.5,46.7,44.2,31.4,31.2,67.7,-4.6,N/A,N/A
Middle Tennessee,CUSA,35,26,105.8,98.2,0.7004,51.4,47.2,18.9,20.3,30,29.2,34.2,36.5,52.7,47.6,33.1,31,67.1,-3.2,N/A,N/A
UCF,Amer,30,18,106.3,98.7,0.7002,49.9,48.7,19.1,20.7,30.8,30.8,28.5,29.8,47.9,50,35,31.2,67.5,-1.7,N/A,N/A
Toledo,MAC,33,26,109.2,101.8,0.693,53,47.2,14.7,15.3,30.4,27.4,28,22.9,53.1,47.6,35.2,31.2,68.9,-1.6,N/A,N/A
Mississippi,SEC,32,13,106,99.1,0.6857,49.6,51.4,18,19.4,26.7,26.6,28.7,28,50,53.1,32.6,32.3,65.4,-7.1,N/A,N/A
Louisiana Tech,CUSA,31,24,104.4,97.7,0.6842,51.9,48.2,16.9,19.3,26.1,28.1,31.1,28.1,52.5,47.4,34,33,68.4,-2.6,N/A,N/A
Bradley,MVC,30,17,102.8,96.1,0.6837,51.1,46.9,19.9,18.2,31.9,23.5,27.3,30.2,51.1,46.1,34.1,32.2,67.3,-6.4,N/A,N/A
Florida St.,ACC,31,17,105.2,98.4,0.6833,49,52.2,18.1,21,31.7,31.1,30.3,30.4,48.7,50,33.1,36.9,67.8,-1.6,N/A,N/A
South Carolina,SEC,30,18,100.1,94.2,0.6679,47.3,47.3,21.4,21.5,33.6,32.1,29.2,41.6,47.4,46.9,31.3,32,70.6,-1.1,N/A,N/A
Washington,P12,32,17,104.4,98.4,0.6629,46.4,49.9,16.7,22.1,29.3,35.6,34.7,30.1,46.2,49.8,31.2,33.5,69.6,-4.4,N/A,N/A
Temple,Amer,29,17,101.6,96.2,0.652,45.4,45.5,18.5,17.2,32.7,29.3,39.7,31.7,44.7,46.3,31.1,29.4,66.3,-2.5,N/A,N/A
Princeton,Ivy,28,23,111.5,105.9,0.6452,56.7,51.3,14.5,15.5,24.8,23.5,21.3,21.7,55.9,51.6,38.4,33.6,66.9,-2.1,N/A,N/A
Minnesota,B10,30,13,106.1,100.8,0.6435,50.7,51.2,14,15.8,17.7,27.5,23.6,23.3,48,51.6,36.8,33.7,65.1,-4.8,N/A,N/A
Boston College,ACC,33,13,103.9,98.8,0.6422,47.8,51.5,17.9,18.7,29.9,25.7,29.6,31.5,48.5,49.8,30.9,36.4,65,-8.3,N/A,N/A
Hofstra,CAA,30,21,109.1,103.8,0.6392,53.4,54.4,14.7,20.4,23.3,26.9,21.7,26.3,55.6,52.1,33.8,38.3,68.9,-3.4,N/A,N/A
Nebraska,B10,32,10,106.5,101.4,0.6388,50.3,51.5,17.1,18.3,20.6,31.4,33.3,29.4,51.8,51.2,32,34.7,71.4,-9.1,N/A,N/A
Abilene Christian,WAC,32,25,104.5,99.5,0.6379,48.4,52,17.6,27.9,27.8,30.9,39.3,49.1,48.4,52,32.2,34.6,70.2,-4.1,N/A,N/A
Stanford,P12,32,16,103.5,98.7,0.6337,49.8,51.4,22.3,16.4,33.8,22.9,29.9,29,49.2,52.9,33.9,32.7,66,-3.2,N/A,N/A
Utah Valley,WAC,30,20,101.5,96.8,0.6337,50.6,45.4,22.1,15.6,32,24.5,38.1,28.3,48.7,46.6,36.8,29,65.8,-5.3,N/A,N/A
Butler,BE,31,14,102.3,97.6,0.6318,47.1,49.9,18.2,17.1,27.1,27.4,30.2,30.2,48.9,51.9,29.7,31.1,63.8,-5.3,N/A,N/A
Louisville,ACC,32,13,103,98.3,0.631,48.8,50.3,18,16.3,27.3,24.9,25.1,30,50.5,49.1,30.9,34.9,67.3,-6.8,N/A,N/A
Morehead St.,OVC,31,23,102.8,98.2,0.6277,52.4,46.5,20.4,17.3,30.7,29.5,29,23.7,51.6,45.3,35.8,32.6,64.7,-3.9,N/A,N/A
North Carolina St.,ACC,32,11,109.2,104.5,0.625,47.9,53.4,14.5,18.3,30.3,31,29.1,29.4,45.9,53,34,36.1,67.1,-9,N/A,N/A
George Mason,A10,30,14,104.7,100.2,0.6244,53,49.6,18,17.2,24.9,23.8,29,29.6,52.4,48.1,35.7,34.4,65,-8.1,N/A,N/A
Liberty,ASun,30,22,104.6,100.2,0.6203,55.5,48.3,18,17.1,22.2,22.8,28.4,31.4,54,46.3,38.1,34.2,65,-6.1,N/A,N/A
Utah,P12,31,11,106.6,102.2,0.6189,48.4,49.4,18.1,15.2,29.3,29.2,30,28.6,47.3,49.4,33.5,32.9,66.4,-9.4,N/A,N/A
Nevada,MWC,30,13,105.8,101.7,0.6118,50.6,52.4,18.4,18.3,24.5,26.1,32,29.7,51.3,51.2,33,35.9,70.3,-7,N/A,N/A
Western Kentucky,CUSA,30,19,105.5,101.5,0.608,52.8,50.7,17.6,19.9,25.1,30.4,31.3,16.5,52.1,48.6,35.9,35.6,68.7,-6.3,N/A,N/A
Southern Illinois,MVC,30,16,101.7,97.9,0.606,51.5,49.7,18.1,18.7,23.2,23.3,29.1,27.6,50.6,50.2,35.1,32.4,62.1,-7.5,N/A,N/A
Wofford,SC,30,19,105.3,101.4,0.6059,53.9,53.8,17.7,19.7,26.9,22.2,28.2,28.6,55.5,53.3,34.8,36.2,64.2,-6.3,N/A,N/A
College of Charleston,CAA,32,17,105.3,101.6,0.6015,50.3,51.2,20.9,19.1,35.7,25,30.4,37.6,50,51.3,33.9,34.1,73.7,-7.5,N/A,N/A
Texas St.,SB,26,21,105.3,101.7,0.5987,51,50.7,18.8,21.8,30.8,29.3,32.9,34.4,48.9,49.5,37.2,35.1,63.7,-2.3,N/A,N/A
Kent St.,MAC,32,23,102.4,99.1,0.5935,49.8,49,18.5,19.5,30.8,26.4,32.6,36.4,50.5,50.1,32.5,31.7,65.7,-4.5,N/A,N/A
Florida Atlantic,CUSA,31,19,104.5,101.2,0.5909,53.3,50.8,19.6,19.5,31.1,26,28.8,32.1,53.6,48.4,35.3,36.9,67.1,-8.1,N/A,N/A
California,P12,32,12,100,97.2,0.5821,46.9,47.5,17.1,14.7,25.5,23.4,25.3,31.5,47.2,48.1,30.8,30.9,64.1,-8.8,N/A,N/A
Georgia Tech,ACC,31,12,100.5,97.8,0.5792,49.6,50.1,18.9,18.8,25,28.1,25,31.5,48.6,51.4,34.4,32.1,68.1,-8.3,N/A,N/A
Rhode Island,A10,30,15,98.2,95.6,0.576,50.6,46.3,20.8,19.3,28.6,27.6,36.1,32.7,50.5,44.5,33.8,32.6,67.2,-8.5,N/A,N/A
UC Santa Barbara,BW,26,17,104.3,101.7,0.5717,53.5,48.1,19.3,19.5,28.4,27.2,37.2,30.4,55,48.2,33.4,32,65.5,-6.8,N/A,N/A
